,k,iteration,mses
97,5,18,228.1197954679784
98,5,19,220.3557729618901
99,5,20,139.63685449488102
100,6,1,150.52914454143703
101,6,2,124.13189398417526
102,6,3,66.71514588457929
103,6,4,101.14671894902864
104,6,5,82.87630640745783
105,6,6,170.649107576863
106,6,7,164.45979380171684
107,6,8,115.80542499288413
108,6,9,134.52899150663586
109,6,10,147.96721735172363
110,6,11,151.28371784448026
111,6,12,144.07069399181682
112,6,13,73.15138135053692
113,6,14,155.58880841766884
114,6,15,155.39292360621994
115,6,16,91.00914955819192
116,6,17,138.0807979052857
117,6,18,115.79066027763197
118,6,19,145.05513819265738
119,6,20,118.55020535261903
120,7,1,117.72905667070094
121,7,2,127.56527181618782
122,7,3,112.33833339265308
123,7,4,119.20323754454719
124,7,5,152.5927188996996
125,7,6,84.863519202177
126,7,7,144.1880558957107
127,7,8,134.16174810556993
128,7,9,115.61305858135793
129,7,10,101.55848386367012
130,7,11,131.0029018300408
131,7,12,109.25675084118012
132,7,13,96.67435112543998
133,7,14,126.09992998962161
134,7,15,121.77982351562844
135,7,16,210.97399776070728
136,7,17,144.8088934942673
137,7,18,82.31863389873698
138,7,19,93.53005178766514
139,7,20,192.651384772855
140,8,1,123.44150759950408
141,8,2,132.65670259674192
142,8,3,92.66134421002869
143,8,4,140.75021359184316
144,8,5,129.2739259181992
145,8,6,148.23374819939488
146,8,7,136.79000466705554
147,8,8,113.10091426925462
148,8,9,173.11651305441737
149,8,10,112.71552359798977
150,8,11,108.84107219471876
151,8,12,119.75443982863172
152,8,13,138.3872910953324
153,8,14,126.63175383399829
154,8,15,135.5923741326033
155,8,16,94.55276732419473
156,8,17,121.07524486732649
157,8,18,96.54399696978545
158,8,19,115.84471400240676
159,8,20,139.5821479697954
160,9,1,106.86539757399191
161,9,2,131.25736502280955
162,9,3,163.5864799885681
163,9,4,107.85064546037265
164,9,5,101.40682271032001
165,9,6,156.85733860100436
166,9,7,165.93825205382507
167,9,8,106.55208921421267
168,9,9,101.37782155951261
169,9,10,152.93974018845816
170,9,11,138.2678335315763
171,9,12,147.22484603594182
172,9,13,139.36593705747106
173,9,14,124.88933033330326
174,9,15,157.90631032419356
175,9,16,150.30789521627446
176,9,17,124.76499080583787
177,9,18,154.77664874500678
178,9,19,152.93047525319383
179,9,20,111.37856066896269
180,10,1,125.92564842030845
181,10,2,108.95297639697947
182,10,3,111.98743422852237
183,10,4,116.59485628055629
184,10,5,155.26076492206715
185,10,6,153.3080620187485
186,10,7,176.59733378825533
187,10,8,96.63805023650002
188,10,9,144.58232439948296
189,10,10,138.58376904691616
190,10,11,113.96203379141106
191,10,12,119.02029556553074
192,10,13,173.4717528218846
193,10,14,102.24885211174904
194,10,15,139.99857551395417
195,10,16,163.73685131682203
196,10,17,138.77432829290404
197,10,18,133.78310403076486
198,10,19,138.21663675921295
199,10,20,98.28353585456381
200,11,1,136.76040442126575
201,11,2,195.69134259768168
202,11,3,115.78342506063814
203,11,4,144.77263507581893
204,11,5,113.56003991383967
205,11,6,161.99836981501124
206,11,7,153.24325306174666
207,11,8,127.8973445307285
208,11,9,140.94688463740817
209,11,10,231.96165238312747
210,11,11,129.43834981246374
211,11,12,135.5609883572327
212,11,13,137.30842178501808
213,11,14,143.00222722286935
214,11,15,172.39932857715718
215,11,16,124.11933747549944
216,11,17,145.28817210188078
217,11,18,118.6118053909711
218,11,19,138.9050802076503
219,11,20,132.58559770792192
220,12,1,136.80665938808428
221,12,2,143.23848599399616
222,12,3,165.63623081883034
223,12,4,125.34379347059937
224,12,5,131.89830592330915
225,12,6,95.43704341265473
226,12,7,150.82769843752203
227,12,8,156.09472779559235
228,12,9,135.83656560261312
229,12,10,124.18659645705749
230,12,11,133.3657571782314
231,12,12,144.89907709995228
232,12,13,114.4978608269221
233,12,14,147.44832527804635
234,12,15,112.74739119988641
235,12,16,145.91335114519555
236,12,17,170.95557510338676
237,12,18,166.30124982382574
238,12,19,139.5594820260775
239,12,20,110.11055236297369
240,13,1,134.1736188894663
241,13,2,119.3529905533123
242,13,3,115.46230401258592
243,13,4,137.7136502214522
244,13,5,110.0329867128923
245,13,6,217.67410538166922
246,13,7,125.86549658592858
247,13,8,152.66254936611955
248,13,9,128.92425923482767
249,13,10,117.91004309216139
250,13,11,110.6955851157376
251,13,12,163.35235894469162
252,13,13,150.05507990469692
253,13,14,166.8165025303817
254,13,15,182.24358352681196
255,13,16,163.8052778736196
256,13,17,190.5635735620715
257,13,18,118.33285182007685
258,13,19,127.54334060691446
259,13,20,109.36267376870875
260,14,1,163.61712033894472
261,14,2,133.82260617383446
262,14,3,166.66023320311487
263,14,4,151.23786119463315
264,14,5,172.78151167065346
265,14,6,199.737339515759
266,14,7,153.22353257613514
267,14,8,146.7526296246154
268,14,9,149.841941957857
269,14,10,142.22762946496337
270,14,11,128.13921019542698
271,14,12,126.34112062154884
272,14,13,170.22724124735424
273,14,14,111.8985024962908
274,14,15,233.12789421525875
275,14,16,194.3174793206718
276,14,17,140.37332682097914
277,14,18,177.60494212969542
278,14,19,254.3746366481388
279,14,20,105.07584769589374
280,15,1,170.66563103667374
281,15,2,137.3327631722428
282,15,3,145.30002064101848
283,15,4,144.79962773138803
284,15,5,138.26880861782456
285,15,6,163.559939624898
286,15,7,200.68441572422046
287,15,8,151.73352823823706
288,15,9,166.05435313994252
289,15,10,189.14267131579038
290,15,11,252.2283376145499
291,15,12,152.28803863844286
292,15,13,214.4388840907469
293,15,14,180.25454217982752
294,15,15,205.75284512200267
295,15,16,235.86958747388303
296,15,17,174.67359783696924
297,15,18,180.45833985726188
298,15,19,133.69416478523834
299,15,20,231.5524698175692
300,16,1,196.7668320510977
301,16,2,405.98493427840515
302,16,3,197.53739782722408
303,16,4,113.86243119030209
304,16,5,130.01812538393222
305,16,6,246.59098386192096
306,16,7,261.7989545029891
307,16,8,195.69606095775057
308,16,9,216.04343972577928
309,16,10,149.97144282363797
310,16,11,225.64370208858207
311,16,12,172.72859203528216
312,16,13,124.62203234467023
313,16,14,126.11917264334232
314,16,15,116.27892746715543
315,16,16,168.8379810891385
316,16,17,121.98106264100011
317,16,18,259.20020292772165
318,16,19,152.25733868297542
319,16,20,150.0779596671225
320,17,1,343.4576631350985
321,17,2,196.24877555656178
322,17,3,227.7991457064994
323,17,4,157.40892704698678
324,17,5,142.58171178187115
325,17,6,133.64378653713825
326,17,7,153.56187349065007
327,17,8,158.72536663712546
328,17,9,203.01406209371822
329,17,10,237.54675073466953
330,17,11,175.27615160115937
331,17,12,160.20628386719113
332,17,13,182.83631226547766
333,17,14,1213.8235857782229
334,17,15,152.44424404237577
335,17,16,145.06135585469252
336,17,17,149.7248912662691
337,17,18,388.7497652694918
338,17,19,153.1714387776898
339,17,20,581.5198305010839
340,18,1,190.25642250323497
341,18,2,242.17708680747342
342,18,3,166.88469622714248
343,18,4,228.39887087223548
344,18,5,318.23776389716534
345,18,6,313.4696373263775
346,18,7,219.20057462827245
347,18,8,153.8824224296992
348,18,9,3210.9133134897725
349,18,10,677.7449851194842
350,18,11,159.5665955257413
351,18,12,145.6966753239654
352,18,13,220.80361586354758
353,18,14,173.98966776563267
354,18,15,273.74373437674114
355,18,16,259.9284392810013
356,18,17,222.01114944785982
357,18,18,246.7882265186322
358,18,19,209.34106197686222
359,18,20,217.988051226959
360,19,1,1255.7158432293122
361,19,2,1985.4092270905592
362,19,3,141.76061573733534
363,19,4,755.850013174936
364,19,5,285.3694238765341
365,19,6,255.0735618953068
366,19,7,226.29172906682325
367,19,8,928.5273796389586
368,19,9,206.8255172905479
369,19,10,164.70691632931636
370,19,11,274.3250045207828
371,19,12,272.2037236686318
372,19,13,934.0839829214653
373,19,14,190.61198456275648
374,19,15,488.1443327405086
375,19,16,227.34069248191426
376,19,17,166.12514629291934
377,19,18,147.3580537568086
378,19,19,182.35108220706545
379,19,20,140.63433892655414
380,20,1,547.8201820544416
381,20,2,4459.6291500272455
382,20,3,11554.168763441377
383,20,4,6500.666124512834
384,20,5,286.3783096881044
385,20,6,4293.215550828087
386,20,7,603.1770980720926
387,20,8,1383.0762580656965
388,20,9,289.44159082413216
389,20,10,263.1199779283846
390,20,11,276.6835711127908
391,20,12,501.5433247723885
392,20,13,531.9833603451716
393,20,14,1031.7686692679288
394,20,15,257.31007443796494
395,20,16,1209.7845090678322
396,20,17,520.1943321864098
397,20,18,550.9289824202197
398,20,19,441.8595717895854
399,20,20,448.33849394321123
